,player_name,club_involved_name,season,age,fee_cleaned,LR,BWKNN,RF,GB,NN,LRstack,NNstack,SimpleAvg,LRdelta,BWKNNdelta,RFdelta,GBdelta,NNdelta
766,Ryan Mason,Hull City,2016/2017,-0.5850455880056934,13.86,12.96378942823643,13.845333333333334,12.783633333333334,11.66318518847119,8.457850842014187,11.954897436206455,12.687444190098656,11.942758425077695,-0.8962105717635698,-0.014666666666665053,-1.0763666666666634,-2.196814811528812,-5.4021491579858125
767,Georges Mandjeck,Sparta Rotterdam,2017/2018,0.14725582026395612,1.17,0.0,2.072,2.1444133333333326,2.716947675906349,1.9181230933037416,0.9481382628870004,0.8465039032505309,1.7702968205086846,-1.17,0.902,0.9744133333333328,1.5469476759063492,0.7481230933037419
768,Derley,SL Benfica,2014/2015,-0.3409451185824769,2.25,0.0,2.333533333333333,3.834376666666668,1.7022571021379187,1.811030855308681,1.1345844279895472,1.199069770690041,1.93623959148932,-2.25,0.08353333333333346,1.584376666666668,-0.5477428978620813,-0.4389691446913189
769,Ogenyi Onazi,Tom Tomsk,2016/2017,-1.0732465268521263,3.15,9.319482890398454,9.589333333333334,12.989400000000007,9.518905823218503,9.050480420368077,10.113323461336854,10.222847556910311,10.093520493463677,6.169482890398455,6.439333333333334,9.839400000000008,6.368905823218506,5.900480420368076
770,Carlos Zambrano,Rubin Kazan,2016/2017,-0.3409451185824769,3.15,13.266373802895412,12.87,8.47313333333334,8.098662354267784,10.1342864722031,12.09969358624922,11.291185383038552,10.568491192539929,10.116373802895412,9.72,5.32313333333334,4.948662354267785,6.984286472203099
771,Edin Dzeko,AS Roma,2016/2017,0.6354567591103891,9.9,26.9177320570624,18.57933333333333,31.30676666666665,30.521231339297614,32.566329353864425,30.75555832311787,30.160787365963216,27.978278550044884,17.017732057062396,8.679333333333334,21.40676666666665,20.621231339297616,22.66632935386443
772,Julian Brandt,Borussia Dortmund,2019/2020,-1.0732465268521263,22.5,33.72486542458766,33.27,41.661533333333324,50.06471629268527,58.41279106674808,52.33169361697607,48.04319580928898,43.42678122347086,11.224865424587662,10.769999999999996,19.16153333333332,27.56471629268527,35.91279106674808
773,Diogo Figueiras,ADO Den Haag,2016/2017,-0.5850455880056934,1.35,2.3071982852983344,4.523,3.9903033333333333,3.4340315376345973,3.2472513553306976,3.114629533686633,2.9912919570377783,3.500356902319393,0.9571982852983344,3.173,2.6403033333333332,2.0840315376345973,1.8972513553306976
774,Michelangelo Albertazzi,AC Milan,2014/2015,-1.0732465268521263,0.495,0.0,2.357133333333333,0.9296533333333338,1.3716912446903278,0.23689087824320865,0.025303380875102862,0.512846286164786,0.9790737579200408,-0.495,1.8621333333333332,0.4346533333333338,0.8766912446903278,-0.2581091217567913
775,Brayan Angulo,LOSC Lille,2014/2015,-0.8291460574289099,1.35,3.5014707169867854,3.250866666666666,3.62393666666667,5.254681064623644,-0.9104753075753776,0.5814269478946892,2.1844289056073745,2.9440959614736766,2.1514707169867853,1.900866666666666,2.27393666666667,3.904681064623643,-2.2604753075753776
776,Shane Duffy,Brighton & Hove Albion,2016/2017,-0.8291460574289099,4.73,8.581949406567864,8.355333333333334,6.560429999999998,4.987570196367578,4.765392536775863,6.593560781216325,6.752468963423723,6.650135094608928,3.851949406567863,3.6253333333333337,1.8304299999999991,0.2575701963675776,0.03539253677586274
777,Andrés Fernández,VVV-Venlo,2017/2018,0.6354567591103891,1.8,0.0,2.877,2.4671066666666652,-0.1115914377026054,2.4408573513038903,1.5288628207374568,0.8284620455029945,1.5346745160535902,-1.8,1.0770000000000002,0.6671066666666647,-1.911591437702605,0.6408573513038902
778,David Edwards,Reading FC,2017/2018,0.8795572285336056,0.99,0.0,4.1116,3.5121199999999977,1.7553338465428932,2.703954365808405,2.2471161712339063,1.3659687639860052,2.416601642470259,-0.99,3.1216,2.522119999999997,0.7653338465428929,1.7139543658084049
779,Alberto Paloschi,SPAL 2013,2018/2019,0.14725582026395612,3.6,0.3195763592637242,6.059333333333332,3.9975833333333353,4.967069326692606,7.298018222753596,5.56697063184292,3.5841460506877745,4.528316115075318,-3.2804236407362763,2.459333333333333,0.3975833333333352,1.3670693266926066,3.6980182227535963
780,Ben Pringle,Preston North End,2016/2017,-0.3409451185824769,0.27,0.0,4.2912,1.1817166666666672,1.4820998590525032,2.15687488744262,1.8010254231135043,0.8311491362602501,1.8223782826323576,-0.27,4.0212,0.9117166666666672,1.2120998590525032,1.88687488744262
781,Juanmi,Real Betis Balompié,2019/2020,-0.3409451185824769,7.2,15.377363283401284,8.112,17.57920000000001,14.8716373889732,4.3290731301007686,8.459127570112226,10.498531027495854,12.053854760495053,8.177363283401284,0.912,10.379200000000012,7.6716373889732,-2.8709268698992307
